sample,Hash,nReads
NA_NA_NA_NA_A_r5,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,51151
NA_NA_NA_NA_A_r5,66a69875e08ccbb96fcb4ff9dbec842f4f29a020,305
NA_NA_NA_NA_A_r5,7691ff9b30d2716aa16b35850ca1155a3797e3d9,229
NA_NA_NA_NA_A_r5,9925684cd5cce61407aadbe42328d90834a2d6b9,84
NA_NA_NA_NA_A_r5,80bdca97a48744dc50eeb39b271db980b65a9828,107
NA_NA_NA_NA_A_r5,a9c63ddaa12480c97e8b2d127d0395609b4329e1,47
NA_NA_NA_NA_A_r5,9827462eaf4177de6c4f73ffe2a8b8c3432c7b99,77
NA_NA_NA_NA_A_r5,3b877aab36cfec9afde65b6fb7ca8bccb4f07236,30
NA_NA_NA_NA_A_r5,59f3dc1659236f043ab1bbcf9f8b4167fd3b13cc,28
NA_NA_NA_NA_A_r5,31ba541452d7b8c87a861801bcd4bdc56768640d,78
NA_NA_NA_NA_A_r5,808b460f804af1b347e1fc17e547d61e0a291dd8,22
NA_NA_NA_NA_A_r5,749cfc74c88bd3fee27bb79fb280aad7b93b503c,3
NA_NA_NA_NA_A_r5,4f4dd1cd55a782ddefb78e5d121e6d8288d05b20,283
NA_NA_NA_NA_A_r5,55f1b7f719446f0d8467b4ffa9358dec135904f4,80
NA_NA_NA_NA_A_r5,45fc526b4478ae044f85181d7c3b27cd7b70cfea,27
NA_NA_NA_NA_A_r5,c6ffba7c1b08c2f24221eef21302e16c9da37036,22
NA_NA_NA_NA_A_r5,c426bfbdb530c48e243d1a15d4d94c27efba4daf,19
NA_NA_NA_NA_A_r5,726bd5fdee03a46f9d923299b15b897a552d6d9c,7
NA_NA_NA_NA_B_r5,11a112ced1c85e620f6d97d82281a1bb58614e67,4
NA_NA_NA_NA_B_r5,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,36591
NA_NA_NA_NA_B_r5,b9fc97eec9aff73108befcee652429657fc1caeb,452
NA_NA_NA_NA_B_r5,66a69875e08ccbb96fcb4ff9dbec842f4f29a020,96
NA_NA_NA_NA_B_r5,7691ff9b30d2716aa16b35850ca1155a3797e3d9,112
NA_NA_NA_NA_B_r5,5da80e8bf6d32c84c9462d0bfce47c8db0074d18,132
NA_NA_NA_NA_B_r5,989079aa88b78d930f4be9f4631b5ac0cad6940c,70
NA_NA_NA_NA_B_r5,20dcc1ae23281b83665f5b891e7105ee951d2856,62
NA_NA_NA_NA_B_r5,05ffae7e8304f8eec6ba8d087502e140904c0147,71
NA_NA_NA_NA_B_r5,4593b04e2337919c481bad83b26041d549bf7497,44
NA_NA_NA_NA_B_r5,6bbc0a2ad257a013ed393affcbcef512cb66b4d8,15
NA_NA_NA_NA_C_r5,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,62682
NA_NA_NA_NA_C_r5,b9fc97eec9aff73108befcee652429657fc1caeb,590
NA_NA_NA_NA_C_r5,66a69875e08ccbb96fcb4ff9dbec842f4f29a020,182
NA_NA_NA_NA_C_r5,7691ff9b30d2716aa16b35850ca1155a3797e3d9,168
NA_NA_NA_NA_C_r5,5da80e8bf6d32c84c9462d0bfce47c8db0074d18,150
NA_NA_NA_NA_C_r5,a917c458cf109fdef7f2ac32525f4f143d1ed4fb,32
NA_NA_NA_NA_C_r5,3b877aab36cfec9afde65b6fb7ca8bccb4f07236,15
SK_Al_1_Aug_A_r5,894db39f7f4dd05d5ab0cbdf6683aa400ac920d0,6
SK_Al_1_Aug_A_r5,a31d4e16bf8a39f654272a1186dba2dda26ab921,2090
SK_Al_1_Aug_A_r5,bccac54ad7babc9191848eab06023ee35501cc72,3482
SK_Al_1_Aug_A_r5,9c1b08211a76599faa4a6763b8c564f85d586b36,363
SK_Al_1_Aug_A_r5,9c09a763d6c811768737dd27009813b61564de01,2719
SK_Al_1_Aug_A_r5,c86edf42afe1847e481b41dc9d0c5e33829cb6c6,1795
SK_Al_1_Aug_A_r5,b8fa6b69798c0a1b93eefe0efd297cca3a7ece98,1434
SK_Al_1_Aug_A_r5,329090d077f862ed845b9dd5a7de2905464cd903,848
