ext_rep,station_id,Year,line.station,Rpt_Line,Rpt_Sta,standard.haul.factor,volume.filtered,proportion.sorted,ID_mifish,ID_microscopy,larval_counts,bio_rep,1,2,3
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Acanthocybium solandri,MISSING,NA,1996_80_60_1,0,0,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Actinopteri,Disintegrated fish larvae,0,1996_80_60_1,0,0,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Agonidae,MISSING,NA,1996_80_60_1,0,0,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Ammodytes personatus,MISSING,NA,1996_80_60_1,0,0,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Anoplopoma fimbria,MISSING,NA,1996_80_60_1,0,0,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Paralepididae,Arctozenus risso,0,1996_80_60_1,0,0,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,MISSING,Argentina sialis,0,1996_80_60_1,NA,NA,NA
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Argentiniformes,MISSING,NA,1996_80_60_1,0,0,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,MISSING,Argyropelecus,0,1996_80_60_1,NA,NA,NA
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Argyropelecus aculeatus,Argyropelecus,0,1996_80_60_1,0,0,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Argyropelecus affinis,Argyropelecus affinis,0,1996_80_60_1,0,0,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Argyropelecus lychnus,Argyropelecus lychnus,0,1996_80_60_1,0,0,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Argyropelecus sladeni,Argyropelecus sladeni,0,1996_80_60_1,0,0,5
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Aristostomias scintillans,Aristostomias scintillans,0,1996_80_60_1,0,0,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Artedius corallinus,Artedius lateralis,0,1996_80_60_1,0,0,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Artedius lateralis,Artedius lateralis,0,1996_80_60_1,0,0,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Atherinomorus,MISSING,NA,1996_80_60_1,0,0,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Atherinops affinis,MISSING,NA,1996_80_60_1,0,0,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Bathyagonus,MISSING,NA,1996_80_60_1,0,0,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Bathylagidae,MISSING,NA,1996_80_60_1,0,0,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Bathylagoides wesethi,Bathylagoides wesethi,0,1996_80_60_1,7676,10862,16366
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Bathylagus pacificus,Bathylagus pacificus,0,1996_80_60_1,0,0,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Benthalbella dentata,MISSING,NA,1996_80_60_1,0,0,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Brosmophycis marginata,Brosmophycis marginata,0,1996_80_60_1,0,0,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Cataetyx rubrirostris,Cataetyx rubrirostris,0,1996_80_60_1,0,696,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Caulolatilus princeps,MISSING,NA,1996_80_60_1,0,0,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Ceratoscopelus townsendi,MISSING,NA,1996_80_60_1,0,0,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,MISSING,Chaenopsis alepidota,0,1996_80_60_1,NA,NA,NA
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Chauliodus macouni,Chauliodus macouni,2,1996_80_60_1,211,319,84
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Cheilotrema saturnum,MISSING,NA,1996_80_60_1,0,0,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Chiasmodontidae,Chiasmodon subniger,0,1996_80_60_1,0,0,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,MISSING,Chilara taylori,0,1996_80_60_1,NA,NA,NA
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Chitonotus pugetensis,MISSING,NA,1996_80_60_1,0,0,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Citharichthys,Citharichthys,0,1996_80_60_1,0,0,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Citharichthys sordidus,Citharichthys sordidus,1,1996_80_60_1,247,815,368
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Citharichthys stigmaeus,Citharichthys stigmaeus,0,1996_80_60_1,0,0,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Citharichthys xanthostigma,Citharichthys,0,1996_80_60_1,0,0,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Clupea pallasii,MISSING,NA,1996_80_60_1,0,0,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,MISSING,Clupeiformes,0,1996_80_60_1,NA,NA,NA
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Cololabis saira,Cololabis saira,0,1996_80_60_1,0,0,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Coryphaenoides yaquinae,MISSING,NA,1996_80_60_1,0,0,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Cottidae,MISSING,NA,1996_80_60_1,0,0,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,MISSING,Cyclothone,0,1996_80_60_1,NA,NA,NA
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Cyclothone atraria,Cyclothone signata,0,1996_80_60_1,0,0,0
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Danaphos oculatus,Danaphos oculatus,0,1996_80_60_1,15,86,82
1,1996_80_60,1996,80 60,80,60,4.86,433.6,0.5,Delphinidae,MISSING,NA,1996_80_60_1,0,0,0
